YTID,debut,fin,label1,label2,label3,label4
--N8lbFywRg,2,12,stream,,,
-1IuHAccCzk,30,40,stream,,,
-2YTLhYX3Jo,21,31,stream,,,
-37xjT4JRUA,30,40,stream,,,
-4wjU1nWdjQ,30,40,stream,,,
-7FjXQgpVXw,220,230,stream,,,
-7R9L8jDmyk,30,40,stream,,,
-8xItH7VN1M,15,25,stream,,,
-AThtrTU7N0,30,40,stream,,,
-BaMFLQMRWg,90,100,stream,,,
-CCoXOH1uCA,30,40,stream,,,
-D08dgMCPXY,20,30,stream,,,
-IXF1v6mo-g,30,40,stream,,,
-I_ANS9d1RE,30,40,stream,,,
-MCWb5PQvPI,30,40,stream,,,
-PO9OMgkHA0,30,40,stream,,,
-PrBlPAGzKg,30,40,stream,,,
-Q3AUsqjZJ8,13,23,stream,,,
-Rm5UxkHqXM,30,40,stream,,,
-VBqkqeRTSU,2,12,stream,,,
-WmGZAb4d7Q,0,6,stream,,,
-Z9rGEaiePs,30,40,stream,,,
-_ovBkOEp6o,30,40,stream,,,
-bI3rDDDk1c,90,100,stream,,,
-ckkvxLaWsY,19,29,stream,,,
-dExF8c5Y54,11,21,stream,,,
-dGjMmDLqUk,30,40,stream,,,
-dR90UazAKg,12,22,stream,,,
-fHt7tPm-aY,470,480,stream,,,
-ieIZSf9oeE,30,40,stream,,,
-lKX1mJltyA,30,40,stream,,,
-lqogMyFkaI,30,40,stream,,,
-megk3LUqo4,10,20,stream,,,
-n_ERLSXuVw,30,40,stream,,,
-pMzkT9faPc,6,16,stream,,,
-prE1Ek2t8M,220,230,stream,,,
-r7bfVZ88Cs,70,80,stream,,,
-sRnWtFYVno,30,40,stream,,,
-seEt-rKNtg,30,40,stream,,,
-tf1RwRbKDA,17,27,stream,,,
-upZb2GTy_U,30,40,stream,,,
-vGGYP1hAZY,200,210,stream,,,
-yX9cFDE2LA,30,40,stream,,,
07gUHrLdY_A,60,70,stream,,,
08i9TzXcBBE,140,150,stream,,,
08ibPbVUo68,230,240,stream,,,
0CjJk2zdpY0,30,40,stream,,,
0DjCF-MgraE,30,40,stream,,,
0EJ6Tc9UWtE,30,40,stream,,,
0FbWOsxV4ck,18,28,stream,,,
0FqpP-uIGAE,30,40,stream,,,
0Hn-Ltf_1Cs,30,40,stream,,,
0I2BZtYZOqw,7,17,stream,,,
0IJ08gAQ05M,0,7,stream,,,
0INOOpJtyv4,80,90,stream,,,
0JXBk7fyxe0,6,16,stream,,,
0Khx9BszYuo,10,20,stream,,,
0Kpm27tHs2Y,30,40,stream,,,
0PWBji_5Sto,19,29,stream,,,
0PdEIaZLo-Y,30,40,stream,,,
0PgYIkxNg5Q,30,40,stream,,,
0QNcqdNrwVY,30,40,stream,,,
0Qu0UcUQhdw,4,14,stream,,,
0RBb9XxmCYA,50,60,stream,,,
0RcDISkQn58,450,460,stream,,,
0TYlKGXoAgc,30,40,stream,,,
0Y0A5yQO9eY,30,40,stream,,,
0YY4v6qdOs8,30,40,stream,,,
0YyA3W-SVUg,30,40,stream,,,
0ZRnY1i1BjQ,10,20,stream,,,
0bZ4ppSA4RM,270,280,stream,,,
0chB45b6tpI,30,40,stream,,,
0eUP-kgUfek,13,23,stream,,,
0f3JMT1EYyE,30,40,stream,,,
0hKJ3AIpW98,30,40,stream,,,
0hhEoz2mPUE,4,14,stream,,,
0lsf6jybC0M,30,40,stream,,,
0mr4d_xkqnU,30,40,stream,,,
0q5JEGgv-F0,30,40,stream,,,
0tkcJH8EqJI,19,29,stream,,,
0ujj5DBHUHY,30,40,stream,,,
0vBsN3fFlFQ,60,70,stream,animal,,
0zOW4ZvwLlc,21,31,stream,,,
0zyvZIKDygA,30,40,stream,,,
1-23yKFW6RE,100,110,stream,,,
1-imw9KPSw4,30,40,stream,,,
1-maVFTLrwQ,30,40,stream,,,
16JBEUROS0M,20,30,stream,,,
