YTID,debut,fin,label1,label2,label3,label4
7Cv7C_6KxEs,30,40,stream,,,
aDofvBPJJFo,70,80,speech,waterfall,stream,
DWmLuZ5s3KQ,30,40,wave,waterfall,,
i4eFb5Z0wis,30,40,waterfall,,,
36ac6OBbdZM,0,10,rain,orage,orage,
rG3bZ91UFq4,70,80,rain,orage,orage,rain
wDKWdZfgT1E,20,30,rain,orage,,
9R65rxs492w,130,140,,speech,stream,
6QmXVgqNchI,12,22,stream,,,
bYsgP76HUyA,200,210,rain,rain,,
IXXCBN0U2Dg,80,90,,stream,,
YTwbx8qv8EA,50,60,waterfall,,,
OqljMdnL4TI,0,10,waterfall,stream,,
0nefgrVV75k,3,13,speech,stream,,
YEE_8ky5egM,50,60,rain,rain,,
pOMFhtRo_gU,30,40,rain,orage,,
41QL3S3DWbE,30,40,stream,,,
50WuEAFoD6o,23,33,speech,stream,,
4xRMZyo4sQI,30,40,speech,waterfall,,
iqzl2YodMVk,20,30,stream,,,
cd_FOIq7MQ0,20,30,speech,waterfall,,
MNgWQJ8Ugmk,10,20,ecoulement,stream,,
9PwF2y-lReQ,30,40,ecoulement,speech,,stream
qz-8q8Oz2xU,10,20,waterfall,stream,,
D3wNGwvoWAI,30,40,stream,,,
kDFe8CZMk3c,80,90,rain,rain,orage,orage
1w6Nf40yZLc,30,40,speech,waterfall,,
-B8ZLJSiDa0,0,10,rain,rain,,
vqsYHvWfJNo,0,10,,rain,vehicule,car
YkSnTD1PH5A,30,40,waterfall,,,
hyyYs9hWJ0o,0,10,ecoulement,stream,,
Z7exEhWUWGs,480,490,stream,,,
2Npm2u2bb_8,30,40,speech,stream,,
1vOU8_NI8l0,30,40,ecoulement,stream,,
D0_J8kt-mto,0,10,waterfall,,,
FOY2xjkeUrc,390,400,stream,,,
iBUzNiwlkss,30,40,rain,,,
0IBFokh7zKA,30,40,rain,,,
2sLJX8eARLI,23,33,boat,vehicule,speech,stream
QMbUySfRtTQ,20,30,rain,,,
rU3TzzR8nTM,30,40,speech,waterfall,,
4Ay81L06nD8,30,40,speech,stream,,
HhXk6waO5K0,350,360,rain,waterfall,,
xhlK8Rgfp54,60,70,rain,orage,orage,rain
4CyoAzj-DCQ,30,40,stream,,,
2FUdI-OpsQ0,30,40,,speech,stream,
5RMbjzZGNsA,290,300,rain,orage,orage,
8ougd5-gJck,30,40,rain,rain,,
6rnPpt4s7lQ,30,40,rain,rain,,
4IuYnRJwxCk,30,40,stream,,,
exYUkcrLGdI,70,80,rain,orage,orage,
5zNWv74vr_M,140,150,rain,rain,,
HdTrRQXslhE,350,360,rain,,,
gnf7zkrZAkg,400,410,speech,stream,,
55e4u4QqXMo,80,90,waterfall,stream,,
1ju13oM_jd0,30,40,speech,stream,,
S38pF1kVLYI,310,320,rain,orage,orage,rain
fN3YL613sfQ,10,20,rain,rain,,
5SipCVnsTes,30,40,stream,,,
RYs3VsFeSpA,80,90,rain,orage,orage,
jPwRQNKTwRM,30,40,rain,orage,orage,
UzmtV6A3SYE,70,80,rain,vehicule,,
_YB1mm_UkCA,100,110,rain,vehicule,,
_P-DB961ONs,230,240,ecoulement,stream,,
1VvXTcU5GdA,320,330,ecoulement,stream,,
XS3XCKnV35E,400,410,waterfall,,,
3iTItI2devo,30,40,,stream,,
HgsV9wnY7QU,130,140,rain,,,
3EkHK64-blU,30,40,waterfall,,,
1lYv6RaVwxQ,350,360,rain,orage,orage,rain
ZvGqO6ZCT4I,60,70,stream,,,
NIbvXr81s9c,0,10,rain,orage,orage,rain
__1zYI_2aCg,80,90,ecoulement,speech,stream,
IgQMNeoKmZg,30,40,,speech,stream,
DFbXJXLBmiw,30,40,speech,stream,,
TVtVI_aBYk0,30,40,rain,rain,,
2o4HBcz0t6Q,40,50,rain,orage,orage,
AITimaJodvs,10,20,rain,rain,,
7SWVaDxkhZg,300,310,rain,orage,orage,
Ulqcqp1U32s,160,170,rain,,,
8iawDgbSjO0,29,39,rain,rain,,
aH_GIons4KU,30,40,ecoulement,speech,stream,
5rJKBv5V6T0,110,120,speech,stream,,
8ZFwmXRe_Ps,140,150,rain,rain,,
3JOFPG5pKxs,30,40,stream,,,
1P1YxAYTOLk,30,40,speech,stream,,
BUg6q21DA9A,30,40,rain,rain,,
2Pama1bnrSw,10,20,rain,rain,,
85FLh1HqFds,220,230,waterfall,stream,,
fG-4h9Du68E,330,340,rain,rain,orage,orage
NsOm9Hnk0kE,80,90,rain,speech,,
CLWcxTg132U,100,110,ecoulement,stream,,
